Filename	Black foam
Instrument name	Discovery DSC
Operator	
rundate	4/22/2026
Sample name	Black foam
proceduresegments	Equilibrate -25.00 °C; Data On; Ramp 20.00 °C/min to 280.00 °C; Isothermal 0.50 min; Ramp 20.00 °C/min to -25.00 °C; Isothermal 0.50 min; Ramp 20.00 °C/min to 280.00 °C; Isothermal 0.50 min; Ramp 20.00 °C/min to -25.00 °C; Data Off
[step]
Ramp 20.00 °C/min to 280.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00	-24.84	0.344
0.00	-24.84	0.344
0.00	-24.84	0.344
0.00	-24.85	0.343
0.01	-24.85	0.343
0.01	-24.85	0.343
0.01	-24.85	0.342
0.01	-24.85	0.341
0.01	-24.85	0.340
0.01	-24.85	0.339
0.02	-24.85	0.338
0.02	-24.85	0.337
0.02	-24.85	0.336
0.02	-24.85	0.336
0.02	-24.85	0.335
0.03	-24.85	0.335
0.03	-24.85	0.334
0.03	-24.85	0.333
0.03	-24.85	0.332
0.03	-24.85	0.330
0.03	-24.84	0.329
0.03	-24.84	0.327
0.04	-24.84	0.326
0.04	-24.84	0.325
0.04	-24.84	0.324
0.04	-24.84	0.322
0.04	-24.83	0.320
0.05	-24.83	0.318
0.05	-24.83	0.314
0.05	-24.83	0.310
0.05	-24.82	0.305
0.05	-24.82	0.301
0.05	-24.81	0.296
0.05	-24.81	0.291
0.06	-24.80	0.284
0.06	-24.80	0.277
0.06	-24.79	0.270
0.06	-24.79	0.263
0.06	-24.78	0.254
0.06	-24.77	0.245
0.07	-24.77	0.236
0.07	-24.76	0.226
0.07	-24.75	0.216
0.07	-24.74	0.204
0.07	-24.73	0.193
0.08	-24.72	0.180
0.08	-24.71	0.167
0.08	-24.70	0.153
0.08	-24.69	0.139
0.08	-24.68	0.124
0.08	-24.67	0.109
0.08	-24.66	0.092
0.09	-24.64	0.077
0.09	-24.63	0.060
0.09	-24.62	0.043
0.09	-24.60	0.024
0.09	-24.59	0.006
0.09	-24.57	-0.012
0.10	-24.55	-0.031
0.10	-24.54	-0.049
0.10	-24.52	-0.068
0.10	-24.50	-0.086
0.10	-24.49	-0.105
0.10	-24.47	-0.124
0.11	-24.45	-0.141
0.11	-24.43	-0.160
0.11	-24.41	-0.179
0.11	-24.39	-0.198
0.11	-24.37	-0.218
0.12	-24.35	-0.237
0.12	-24.33	-0.256
0.12	-24.31	-0.274
0.12	-24.29	-0.292
0.12	-24.27	-0.310
0.12	-24.25	-0.328
0.13	-24.23	-0.345
0.13	-24.20	-0.362
0.13	-24.18	-0.378
0.13	-24.16	-0.394
0.13	-24.14	-0.409
0.13	-24.11	-0.425
0.14	-24.09	-0.439
0.14	-24.06	-0.453
0.14	-24.04	-0.467
0.14	-24.02	-0.480
0.14	-23.99	-0.494
0.14	-23.97	-0.505
0.14	-23.94	-0.517
0.15	-23.92	-0.529
0.15	-23.90	-0.540
0.15	-23.87	-0.551
0.15	-23.85	-0.561
0.15	-23.82	-0.572
0.16	-23.80	-0.581
0.16	-23.77	-0.591
0.16	-23.74	-0.600
0.16	-23.72	-0.608
0.16	-23.69	-0.616
0.16	-23.67	-0.623
0.17	-23.64	-0.630
0.17	-23.62	-0.637
0.17	-23.59	-0.644
0.17	-23.56	-0.650
0.17	-23.54	-0.657
0.17	-23.51	-0.663
0.18	-23.48	-0.669
0.18	-23.46	-0.675
0.18	-23.43	-0.682
0.18	-23.40	-0.687
0.18	-23.38	-0.692
0.18	-23.35	-0.698
0.19	-23.32	-0.703
0.19	-23.30	-0.708
0.19	-23.27	-0.713
0.19	-23.24	-0.717
0.19	-23.21	-0.721
0.19	-23.19	-0.726
0.19	-23.16	-0.730
0.20	-23.13	-0.735
0.20	-23.10	-0.740
0.20	-23.08	-0.744
0.20	-23.05	-0.748
0.20	-23.02	-0.752
0.21	-22.99	-0.757
0.21	-22.96	-0.761
0.21	-22.93	-0.764
0.21	-22.91	-0.768
0.21	-22.88	-0.772
0.21	-22.85	-0.776
0.22	-22.82	-0.780
0.22	-22.79	-0.785
0.22	-22.76	-0.790
0.22	-22.73	-0.794
0.22	-22.71	-0.798
0.22	-22.68	-0.802
0.23	-22.65	-0.805
