Filename	Purple foam
Instrument name	Discovery DSC
Operator	
rundate	4/22/2026
Sample name	Purple foam
proceduresegments	Equilibrate -25.00 °C; Data On; Ramp 20.00 °C/min to 280.00 °C; Isothermal 0.50 min; Ramp 20.00 °C/min to -25.00 °C; Isothermal 0.50 min; Ramp 20.00 °C/min to 280.00 °C; Isothermal 0.50 min; Ramp 20.00 °C/min to -25.00 °C; Data Off
[step]
Ramp 20.00 °C/min to 280.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00	-24.85	0.238
0.00	-24.85	0.238
0.00	-24.85	0.237
0.00	-24.85	0.237
0.01	-24.85	0.237
0.01	-24.85	0.236
0.01	-24.85	0.236
0.01	-24.85	0.236
0.01	-24.85	0.236
0.01	-24.85	0.235
0.02	-24.85	0.235
0.02	-24.85	0.235
0.02	-24.85	0.234
0.02	-24.85	0.234
0.02	-24.85	0.234
0.03	-24.85	0.233
0.03	-24.85	0.233
0.03	-24.85	0.233
0.03	-24.85	0.232
0.03	-24.85	0.232
0.03	-24.85	0.232
0.03	-24.85	0.231
0.04	-24.84	0.230
0.04	-24.84	0.230
0.04	-24.84	0.228
0.04	-24.84	0.227
0.04	-24.84	0.226
0.05	-24.83	0.224
0.05	-24.83	0.222
0.05	-24.83	0.220
0.05	-24.82	0.218
0.05	-24.82	0.216
0.05	-24.82	0.212
0.05	-24.81	0.209
0.06	-24.81	0.205
0.06	-24.80	0.202
0.06	-24.79	0.198
0.06	-24.79	0.194
0.06	-24.78	0.191
0.06	-24.77	0.187
0.07	-24.77	0.183
0.07	-24.76	0.178
0.07	-24.75	0.173
0.07	-24.74	0.167
0.07	-24.73	0.161
0.08	-24.72	0.155
0.08	-24.71	0.148
0.08	-24.70	0.141
0.08	-24.69	0.134
0.08	-24.67	0.127
0.08	-24.66	0.121
0.08	-24.65	0.114
0.09	-24.64	0.106
0.09	-24.62	0.100
0.09	-24.61	0.092
0.09	-24.59	0.085
0.09	-24.57	0.077
0.09	-24.56	0.069
0.10	-24.54	0.061
0.10	-24.52	0.052
0.10	-24.51	0.044
0.10	-24.49	0.035
0.10	-24.47	0.026
0.10	-24.45	0.017
0.11	-24.43	0.008
0.11	-24.41	0.000
0.11	-24.39	-0.009
0.11	-24.37	-0.017
0.11	-24.35	-0.025
0.12	-24.33	-0.033
0.12	-24.31	-0.041
0.12	-24.29	-0.049
0.12	-24.26	-0.057
0.12	-24.24	-0.065
0.12	-24.22	-0.073
0.13	-24.19	-0.080
0.13	-24.17	-0.088
0.13	-24.15	-0.095
0.13	-24.12	-0.102
0.13	-24.10	-0.110
0.13	-24.08	-0.117
0.14	-24.05	-0.124
0.14	-24.03	-0.131
0.14	-24.00	-0.138
0.14	-23.98	-0.144
0.14	-23.95	-0.151
0.14	-23.93	-0.156
0.14	-23.90	-0.162
0.15	-23.88	-0.167
0.15	-23.85	-0.173
0.15	-23.82	-0.177
0.15	-23.80	-0.183
0.15	-23.77	-0.188
0.16	-23.75	-0.193
0.16	-23.72	-0.198
0.16	-23.69	-0.203
0.16	-23.67	-0.207
0.16	-23.64	-0.212
0.16	-23.61	-0.215
0.17	-23.59	-0.219
0.17	-23.56	-0.222
0.17	-23.53	-0.226
0.17	-23.51	-0.230
0.17	-23.48	-0.233
0.17	-23.45	-0.237
0.18	-23.42	-0.240
0.18	-23.40	-0.243
0.18	-23.37	-0.246
0.18	-23.34	-0.249
0.18	-23.32	-0.252
0.18	-23.29	-0.255
0.19	-23.26	-0.257
0.19	-23.23	-0.261
0.19	-23.21	-0.264
0.19	-23.18	-0.267
0.19	-23.15	-0.269
0.19	-23.12	-0.272
0.19	-23.09	-0.275
0.20	-23.07	-0.278
0.20	-23.04	-0.281
0.20	-23.01	-0.283
0.20	-22.98	-0.286
0.20	-22.95	-0.288
0.21	-22.92	-0.290
0.21	-22.89	-0.292
0.21	-22.87	-0.295
0.21	-22.84	-0.297
0.21	-22.81	-0.299
0.21	-22.78	-0.302
0.22	-22.75	-0.304
0.22	-22.72	-0.307
